delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.duration,polygon_3.started,polygon_3.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.7,1000,exp,1,11,23,8,177.3243728999987,178.3242738000008,178.3242738000008,178.3242738000008,space,0.6842326000005414,None,179.7403587000008,180.04017039999962,180.04017039999962,180.04017039999962,180.04017039999962,500,1,[2.381980600002862],[2.381985200001509],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,1000,exp,2,0,24,11,182.4226794999995,183.42259759999797,183.42259759999797,183.42259759999797,space,1.0396275000020978,None,185.18863520000014,185.48842180000065,185.48842180000065,185.48842180000065,185.48842180000065,400,1,[2.4981188000019756],[2.498122400000284],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,1000,exp,2,1,25,9,187.98746100000062,188.98717150000084,188.98717150000084,188.98717150000084,space,0.8143092999998771,None,189.92038129999855,190.22021329999916,190.22021329999916,190.22021329999916,190.22021329999916,50,1,[3.0648318999992625],[3.0648378999976558],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,1000,exp,2,2,26,4,193.28583639999852,194.28534740000032,194.28534740000032,194.28534740000032,space,0.740902500001539,None,195.4516741999978,195.7514310000006,195.7514310000006,195.7514310000006,195.7514310000006,200,1,[1.8989596999999776],[1.8989626000002318],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,1000,exp,2,3,27,7,197.6508877999986,198.65071949999765,198.65071949999765,198.65071949999765,space,1.236292699999467,None,200.31685599999764,200.6165594999984,200.6165594999984,200.6165594999984,200.6165594999984,300,1,[2.0152833000029204],[2.015287600002921],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,1000,exp,2,4,28,8,202.63249939999878,203.63228510000044,203.63228510000044,203.63228510000044,space,1.334903700000723,None,205.69824769999832,205.9980121999979,205.9980121999979,205.9980121999979,205.9980121999979,500,1,[2.665482399999746],[2.665487199999916],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,1000,exp,2,5,29,10,208.66391229999863,209.66359789999842,209.66359789999842,209.66359789999842,space,0.7129864000016823,None,210.7964624999986,211.09642650000023,211.09642650000023,211.09642650000023,211.09642650000023,250,1,[2.40020530000038],[2.400211299998773],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,400,unexp,2,6,30,2,213.49546999999802,214.4952228000002,214.4952228000002,214.4952228000002,space,1.002361099999689,None,216.22804990000077,216.52783319999799,216.52783319999799,216.52783319999799,216.52783319999799,400,1,[2.265463499999896],[2.265469199999643],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,400,unexp,2,7,31,0,218.79369120000047,219.7934252999985,219.7934252999985,219.7934252999985,space,0.7775406000000658,None,220.69319189999806,220.993086399998,220.993086399998,220.993086399998,220.993086399998,100,1,[3.113636999998562],[3.113640299998224],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,1000,exp,2,8,32,3,224.1085177999994,225.10830630000055,225.10830630000055,225.10830630000055,space,0.826305600003252,None,226.05815240000084,226.3578983999978,226.3578983999978,226.3578983999978,226.3578983999978,50,1,[2.8486528000030376],[2.848660800002108],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,400,unexp,2,9,33,1,229.20695870000054,230.20664209999813,230.20664209999813,230.20664209999813,space,1.1335314000025392,None,231.77281949999815,232.07270489999792,232.07270489999792,232.07270489999792,232.07270489999792,150,1,[3.6480307999991055],[3.6480378000014753],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,1000,exp,2,10,34,6,235.7214313000004,236.72119979999843,236.72119979999843,236.72119979999843,space,1.075385100000858,None,237.92074130000037,238.22053159999996,238.22053159999996,238.22053159999996,238.22053159999996,100,1,[2.664081900002202],[2.6640869000002567],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,1000,exp,2,11,35,5,240.8862814999993,241.88580250000086,241.88580250000086,241.88580250000086,space,0.7868584000025294,None,243.40213129999756,243.70210270000098,243.70210270000098,243.70210270000098,243.70210270000098,450,1,[2.814141299997573],[2.814146900000196],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,400,unexp,3,0,36,1,246.51777709999806,247.51745789999768,247.51745789999768,247.51745789999768,space,0.9349140000012994,None,248.88357189999806,249.18335189999925,249.18335189999925,249.18335189999925,249.18335189999925,250,1,[2.2814661000011256],[2.281469300000026],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,400,unexp,3,1,37,0,251.4659290999989,252.46569889999955,252.46569889999955,252.46569889999955,space,0.6147600000040256,None,253.19892120000077,253.49874210000053,253.49874210000053,253.49874210000053,253.49874210000053,50,1,[3.0979994000008446],[3.098007000000507],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,1000,exp,3,2,38,4,256.5975677999995,257.597377099999,257.597377099999,257.597377099999,space,0.6210140000002866,None,258.6303904999986,258.93019149999964,258.93019149999964,258.93019149999964,258.93019149999964,100,1,[1.9988360999996075],[1.9988430999983393],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,1000,exp,3,3,39,9,260.9294160999998,261.92918519999876,261.92918519999876,261.92918519999876,space,1.0417704999999842,None,263.0956191000005,263.3954913999987,263.3954913999987,263.3954913999987,263.3954913999987,100,1,[2.432173100001819],[2.432178600000043],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,1000,exp,3,4,40,3,265.8278336000003,266.8274590000001,266.8274590000001,266.8274590000001,space,1.7898482000018703,None,268.74365749999924,269.04341209999984,269.04341209999984,269.04341209999984,269.04341209999984,50,1,[2.7313370999982],[2.731340899998031],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,1000,exp,3,5,41,7,271.77577649999876,272.77545380000083,272.77545380000083,272.77545380000083,space,0.861603200002719,None,274.0584423,274.35837529999844,274.35837529999844,274.35837529999844,274.35837529999844,250,1,[2.565968299997621],[2.5659744999975374],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,400,unexp,3,6,42,2,276.9241822999975,277.9237801999989,277.9237801999989,277.9237801999989,space,1.2121894000010798,None,279.8564770999983,280.1563052999991,280.1563052999991,280.1563052999991,280.1563052999991,350,1,[2.2156793999965885],[2.2156862999981968],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,1000,exp,3,7,43,10,282.3721489999989,283.3718544999974,283.3718544999974,283.3718544999974,space,0.7113453000019945,None,284.5050010999985,284.8048094000005,284.8048094000005,284.8048094000005,284.8048094000005,400,1,[1.9650849000026938],[1.9650880000008328],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,1000,exp,3,8,44,11,286.77065429999857,287.7703341999986,287.7703341999986,287.7703341999986,space,0.7480263000034029,None,289.2366268000005,289.5364751999987,289.5364751999987,289.5364751999987,289.5364751999987,500,1,[2.0313124999993306],[2.031315700001869],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,1000,exp,3,9,45,8,291.5689631999994,292.568938299999,292.568938299999,292.568938299999,space,2.1347151000045415,None,295.4345691999988,295.7344568999979,295.7344568999979,295.7344568999979,295.7344568999979,600,1,[1.864343799999915],[1.8643494000025385],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,1000,exp,3,10,46,6,297.6005213999997,298.60008689999813,298.60008689999813,298.60008689999813,space,0.3674505999988469,None,299.0999695999999,299.3999507999979,299.3999507999979,299.3999507999979,299.3999507999979,100,1,[3.315450599999167],[3.315454299998237],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,1000,exp,3,11,47,5,302.7151718999994,303.71502820000023,303.71502820000023,303.71502820000023,space,1.0340819000011834,None,305.48110950000046,305.7809763999976,305.7809763999976,305.7809763999976,305.7809763999976,450,1,[2.3140308000001824],[2.3140366000006907],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,1000,exp,4,0,48,5,308.096803299999,309.09660040000017,309.09660040000017,309.09660040000017,space,0.7667424999999639,None,310.57947609999974,310.8792833999978,310.8792833999978,310.8792833999978,310.8792833999978,600,1,[3.514605300002586],[3.5146112000002177],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,400,unexp,4,1,49,1,314.39469819999795,315.39450020000004,315.39450020000004,315.39450020000004,space,2.4545323999991524,None,318.2768741,318.57670679999865,318.57670679999865,318.57670679999865,318.57670679999865,250,1,[3.1150675999997475],[3.11507039999924],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,1000,exp,4,2,50,6,321.69226379999964,322.691834199999,322.691834199999,322.691834199999,space,0.5475364000012632,None,323.3585072999995,323.6582712999989,323.6582712999989,323.6582712999989,323.6582712999989,150,1,[3.547619600001781],[3.5476224000012735],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,400,unexp,4,3,51,2,327.2068576999991,328.2068830999997,328.2068830999997,328.2068830999997,space,0.7592609000021184,None,329.6896177999988,329.9895089999991,329.9895089999991,329.9895089999991,329.9895089999991,350,1,[2.6654428000001644],[2.665446499999234],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,1000,exp,4,4,52,3,332.6551225000003,333.6549097999996,333.6549097999996,333.6549097999996,space,2.639372199999343,None,336.4208147999998,336.720492299999,336.720492299999,336.720492299999,336.720492299999,50,1,[2.314630100001523],[2.3146333000004233],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.1,400,unexp,4,5,53,0,339.03641199999765,340.0362079999977,340.0362079999977,340.0362079999977,space,3.899576799998613,None,344.06817890000093,344.36790180000025,344.36790180000025,344.36790180000025,344.36790180000025,50,1,[2.09896690000096],[2.0989736000010453],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.4,1000,exp,4,6,54,4,346.4671739000005,347.467093700001,347.467093700001,347.467093700001,space,0.9162562999990769,None,348.79981979999866,349.09962860000087,349.09962860000087,349.09962860000087,349.09962860000087,50,1,[3.131200499999977],[3.1312074000015855],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
0.7,1000,exp,4,7,55,8,352.23193719999836,353.23165829999925,353.23165829999925,353.23165829999925,space,0.557527900000423,None,354.51465409999946,354.81438139999955,354.81438139999955,354.81438139999955,354.81438139999955,300,1,[3.5301050000016403],[3.5301084000020637],619033,001,2023-11-08_19h30.02.320,Intentional binding,2023.1.3,60.10966407213285,
